"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Pradhan Mantri Jan Dhan Yojana (PMJDY)","Social Welfare & Empowerment","Low-income households, Unbanked Population","₹21,000 Crores","Financial inclusion through opening of bank accounts for the unbanked","Pan-India","Uttar Pradesh","26.8467","80.9462","Improved access to banking for rural and underserved areas","1000","1200","1500","1800","2000","2200","2400","2600","2800","3000","3200","3400"
"","","","","","","Bihar","25.0968","85.3131","Increase in number of financial transactions in rural sectors","","","","","","","","","","","",""
"Beti Bachao Beti Padhao Yojana","Social Welfare & Empowerment","Girl Children, Women","₹1,000 Crores","Promoting gender equality and education for girls","Pan-India","Haryana","29.0588","76.0856","Reduction in gender discrimination and improved female literacy","500","600","700","800","900","1000","1100","1200","1300","1400","1500","1600"
"","","","","","","Uttar Pradesh","26.8467","80.9462","Awareness campaigns and girl child education initiatives","","","","","","","","","","","",""
"National Social Assistance Programme (NSAP)","Social Welfare & Empowerment","Elderly, Widows, Disabled Individuals","₹9,000 Crores","Financial assistance for vulnerable sections of society","Pan-India","Kerala","10.8505","76.2711","Support for elderly and disabled individuals","1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100"
"","","","","","","Madhya Pradesh","23.4731","77.9470","Empowering vulnerable populations through financial aid","","","","","","","","","","","",""
"Pradhan Mantri Ujjwala Yojana (PMUY)","Social Welfare & Empowerment","Women from Below Poverty Line (BPL) households","₹8,000 Crores","Providing LPG connections to women from rural households","Pan-India","Uttar Pradesh","26.8467","80.9462","Improved cooking conditions for women in rural areas","1200","1400","1600","1800","2000","2200","2400","2600","2800","3000","3200","3400"
"","","","","","","Bihar","25.0968","85.3131","Access to clean cooking fuel for underprivileged households","","","","","","","","","","","",""
"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PMJAY)","Social Welfare & Empowerment","Low-income Families, Vulnerable Sections","₹5,000 Crores","Health insurance for economically vulnerable populations","Pan-India","Rajasthan","27.0238","74.2179","Access to quality healthcare for low-income families","1500","1700","1900","2100","2300","2500","2700","2900","3100","3300","3500","3700"
"","","","","","","Madhya Pradesh","23.4731","77.9470","Health insurance for economically disadvantaged families","","","","","","","","","","","",""
"Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)","Social Welfare & Empowerment","Rural Households, Unskilled Workers","₹60,000 Crores","Providing wage employment for unskilled workers in rural areas","Pan-India","Rajasthan","27.0238","74.2179","Wage employment through rural infrastructure projects","1200","1400","1600","1800","2000","2200","2400","2600","2800","3000","3200","3400"
"","","","","","","West Bengal","22.5726","88.3639","Job creation and skill enhancement in rural areas","","","","","","","","","","","",""
"PM Garib Kalyan Yojana","Social Welfare & Empowerment","Low-income Families, Migrant Workers","₹1,70,000 Crores","Relief package for the poor during the COVID-19 pandemic","Pan-India","Madhya Pradesh","23.4731","77.9470","Financial relief for migrant workers and daily wage laborers","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500"
"","","","","","","Gujarat","22.2587","71.1924","Food and financial support for underprivileged families","","","","","","","","","","","",""
"Swachh Bharat Mission (SBM)","Social Welfare & Empowerment","General Public","₹62,000 Crores","Improving sanitation and cleanliness across India","Pan-India","Kerala","10.8505","76.2711","Increased sanitation facilities in rural and urban areas","1000","1200","1400","1600","1800","2000","2200","2400","2600","2800","3000","3200"
"","","","","","","Uttar Pradesh","26.8467","80.9462","Reduction in open defecation and better sanitation facilities","","","","","","","","","","","",""
"Pradhan Mantri Awas Yojana (PMAY)","Social Welfare & Empowerment","Low-income Families, Urban and Rural Poor","₹1,00,000 Crores","Affordable housing for all under the mission of 'Housing for All'","Pan-India","Maharashtra","19.7515","75.7139","Affordable homes for the urban poor","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500"
"","","","","","","Tamil Nadu","11.1276","78.6569","Construction of affordable houses in rural and urban areas","","","","","","","","","","","",""
"National Handicapped Finance and Development Corporation (NHFDC)","Social Welfare & Empowerment","Persons with Disabilities","₹500 Crores","Providing financial assistance to persons with disabilities for economic independence","Pan-India","Delhi","28.6139","77.2090","Financial support for disabled individuals to start businesses","100","150","200","250","300","350","400","450","500","550","600","650"
"","","","","","","Karnataka","15.3173","75.7139","Economic empowerment of persons with disabilities","","","","","","","","","","","",""
