"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Pradhan Mantri Jan Dhan Yojana (PMJDY)","Public Safety, Law & Justice","Unbanked Population","₹20,000 Crores","Financial inclusion through banking access","Pan-India","Uttar Pradesh","26.8467","80.9462","Increased financial inclusion among rural households","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500"
"","","","","","","Bihar","25.0968","85.3131","Access to banking for previously unbanked individuals","","","","","","","","","","","",""
"Atal Pension Yojana (APY)","Public Safety, Law & Justice","Low-Income Workers","₹1,000 Crores","Financial security for unorganized sector workers","Pan-India","Rajasthan","27.0238","74.2179","Better retirement security for unorganized workers","500","700","900","1100","1300","1500","1700","1900","2100","2300","2500","2700"
"","","","","","","Odisha","20.9517","85.0985","Improved pension access for low-income workers","","","","","","","","","","","",""
"National Legal Services Authority (NALSA)","Public Safety, Law & Justice","Indigent Populations","₹300 Crores","Legal aid for economically disadvantaged people","Pan-India","Kerala","10.8505","76.2711","Improved access to legal aid for low-income families","200","300","400","500","600","700","800","900","1000","1100","1200","1300"
"","","","","","","Madhya Pradesh","23.4731","77.9470","Awareness campaigns and legal assistance for the poor","","","","","","","","","","","",""
"Police Modernization Scheme","Public Safety, Law & Justice","Law Enforcement Agencies","₹10,000 Crores","Modernization of police forces across India","Pan-India","Uttar Pradesh","26.8467","80.9462","Upgraded police infrastructure and equipment","500","600","700","800","900","1000","1100","1200","1300","1400","1500","1600"
"","","","","","","Maharashtra","19.7515","75.7139","Enhanced police training and modernization","","","","","","","","","","","",""
"Women Helpline Scheme","Public Safety, Law & Justice","Women in Distress","₹500 Crores","24/7 helpline for women in distress","Pan-India","Tamil Nadu","11.1276","78.6569","Immediate assistance for women in emergency situations","100","150","200","250","300","350","400","450","500","550","600","650"
"","","","","","","Delhi","28.6139","77.2090","Response to domestic violence and safety issues","","","","","","","","","","","",""
"Crime and Criminal Tracking Network and Systems (CCTNS)","Public Safety, Law & Justice","Law Enforcement Agencies","₹2,000 Crores","Centralized database for crime tracking and management","Pan-India","Gujarat","22.2587","71.1924","Improved crime tracking and case management","200","300","400","500","600","700","800","900","1000","1100","1200","1300"
"","","","","","","Karnataka","15.3173","75.7139","Centralized criminal data management system","","","","","","","","","","","",""
"Swachh Bharat Abhiyan (Clean India Mission)","Public Safety, Law & Justice","General Public","₹62,000 Crores","Cleanliness drive to improve public health and safety","Pan-India","Madhya Pradesh","23.4731","77.9470","Improved sanitation and cleanliness in urban and rural areas","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500"
"","","","","","","Haryana","29.0588","76.0856","Public awareness campaigns for hygiene and cleanliness","","","","","","","","","","","",""
"Anti-Corruption Action Plan","Public Safety, Law & Justice","General Public","₹5,000 Crores","Combatting corruption in public offices and systems","Pan-India","West Bengal","22.5726","88.3639","Increased transparency in public sector services","150","200","250","300","350","400","450","500","550","600","650","700"
"","","","","","","Punjab","31.1471","75.3412","Strengthening anti-corruption mechanisms","","","","","","","","","","","",""
"National Investigation Agency (NIA)","Public Safety, Law & Justice","Law Enforcement Agencies","₹1,000 Crores","Fighting terrorism and organized crime","Pan-India","Jammu & Kashmir","33.7782","76.5762","Enhanced counter-terrorism operations","100","150","200","250","300","350","400","450","500","550","600","650"
"","","","","","","Maharashtra","19.7515","75.7139","Combatting organized crime and terrorism","","","","","","","","","","","",""
"Pradhan Mantri Fasal Bima Yojana (PMFBY)","Public Safety, Law & Justice","Farmers","₹13,000 Crores","Insurance scheme for farmers to protect crops from disasters","Pan-India","Haryana","29.0588","76.0856","Risk protection for farmers in case of crop damage","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500"
"","","","","","","Rajasthan","27.0238","74.2179","Enhanced crop insurance coverage for farmers","","","","","","","","","","","",""
