"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Ayurvedic Wellness Program","Health and Wellness","General Public","₹1,000 Crores","Promotion of Ayurvedic health practices","Pan-India","Kerala","10.8505","76.2711","Increased adoption of Ayurvedic treatments","5","6","7","8","9","10","12","13","14","15","16","17"
"","","","","","","Goa","15.2993","74.124","Promotion of Ayurvedic wellness tourism","","","","","","","","","","","",""
"Yoga for Mental Health","Health and Wellness","General Public","₹200 Crores","Promoting yoga to combat mental health issues","Nationwide","Uttarakhand","30.0668","79.0193","Support for mental wellness through yoga","8","10","12","14","16","18","20","22","24","26","28","30"
"","","","","","","Haryana","29.0588","76.0856","Yoga classes for stress reduction","","","","","","","","","","","",""
"Nutrition Awareness Campaign","Health and Wellness","General Public","₹500 Crores","Promoting healthy eating habits","Nationwide","Punjab","31.1471","75.3412","Increased nutrition awareness","15","17","20","22","25","28","30","32","35","37","40","42"
"","","","","","","Tamil Nadu","11.1271","78.6569","Workshops on balanced diet and nutrition","","","","","","","","","","","",""
"Mental Health Support for Youth","Health and Wellness","Youth","₹800 Crores","Providing mental health resources for young people","Nationwide","Delhi","28.6139","77.2090","Mental health support centers for youth","12","15","18","21","24","27","30","33","36","39","42","45"
"","","","","","","Maharashtra","19.7515","75.7139","Youth counseling and therapy programs","","","","","","","","","","","",""
"Clean Water for Health Initiative","Health and Wellness","Rural Areas","₹1,500 Crores","Providing clean drinking water to rural communities","Rural India","Bihar","25.0968","85.3131","Improved access to clean drinking water","20","25","30","35","40","45","50","55","60","65","70","75"
"","","","","","","Odisha","20.9517","85.0985","Water filtration systems in rural areas","","","","","","","","","","","",""
"Immunization Drive for Children","Health and Wellness","Children","₹3,000 Crores","Increased immunization coverage among children","Pan-India","Andhra Pradesh","15.9129","79.7402","Increased vaccination rates in rural areas","40","45","50","55","60","65","70","75","80","85","90","95"
"","","","","","","West Bengal","22.5726","88.3639","Support for immunization in remote districts","","","","","","","","","","","",""
"Community Health Worker Training","Health and Wellness","Health Workers","₹700 Crores","Training community health workers for better healthcare delivery","Rural India","Rajasthan","27.0238","74.2179","Training of health workers in remote regions","10","12","14","16","18","20","22","24","26","28","30","32"
"","","","","","","Chhattisgarh","21.2787","81.8661","Improved healthcare delivery through trained workers","","","","","","","","","","","",""
"Yoga for Elderly Health","Health and Wellness","Elderly","₹300 Crores","Promoting yoga for elderly health and wellness","Pan-India","Kerala","10.8505","76.2711","Yoga programs for elderly wellness","5","6","7","8","9","10","11","12","13","14","15","16"
"","","","","","","Uttarakhand","30.0668","79.0193","Yoga centers focusing on elderly health","","","","","","","","","","","",""
"Mental Wellness Apps for All","Health and Wellness","General Public","₹400 Crores","Providing mental wellness apps for public use","Nationwide","Madhya Pradesh","23.4731","77.947","Access to mental health support through apps","12","14","16","18","20","22","24","26","28","30","32","34"
"","","","","","","Karnataka","15.3173","75.7139","Increased usage of mental wellness mobile apps","","","","","","","","","","","",""
"Nutritional Supplements for Pregnant Women","Health and Wellness","Pregnant Women","₹600 Crores","Providing nutritional supplements to pregnant women","Nationwide","Gujarat","22.2587","71.1924","Supplement distribution for maternal health","15","18","20","22","24","26","28","30","32","34","36","38"
"","","","","","","Maharashtra","19.7515","75.7139","Promotion of prenatal nutrition for better health","","","","","","","","","","","",""
