"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"PMJDY","Banking, Financial Services, and Insurance","Unbanked Citizens","₹15,000 Crores","Financial inclusion for all households","Nationwide","Bihar","25.0961","85.3131","80% increase in bank account holders","12","15","18","21","24","28","33","37","41","45","49","55"
"","","","","","","West Bengal","22.9868","87.8550","Enhanced access to DBT (Direct Benefit Transfer)","","","","","","","","","","","",""
"","","","","","","Assam","26.2006","92.9376","60% of rural families linked to bank accounts","","","","","","","","","","","",""
"","","","","","","Jharkhand","23.6102","85.2799","Boosted women-led banking penetration","","","","","","","","","","","",""
"","","","","","","Odisha","20.9517","85.0985","Rural micro-finance adoption improved","","","","","","","","","","","",""
"PMSBY","Banking, Financial Services, and Insurance","Low-Income Citizens","₹1,200 Crores","Affordable accident insurance for all","Nationwide","Karnataka","15.3173","75.7139","40 lakh individuals insured","5","6","9","11","15","18","22","25","30","35","40","45"
"","","","","","","Tamil Nadu","11.1271","78.6569","80% enrollment in rural districts","","","","","","","","","","","",""
"","","","","","","Kerala","10.8505","76.2711","Disability benefits processed efficiently","","","","","","","","","","","",""
"","","","","","","Andhra Pradesh","15.9129","79.7400","Accident claim ratio improved by 60%","","","","","","","","","","","",""
"","","","","","","Telangana","18.1124","79.0193","More than 5 lakh claims settled","","","","","","","","","","","",""
"PMJJBY","Banking, Financial Services, and Insurance","General Public (18-50 years)","₹2,000 Crores","Life insurance accessibility at low premium","Nationwide","Madhya Pradesh","22.9734","78.6569","Life coverage provided to over 10 lakh","7","9","11","14","18","22","27","30","34","39","44","50"
"","","","","","","Chhattisgarh","21.2787","81.8661","Marginalized citizens brought under coverage","","","","","","","","","","","",""
"","","","","","","Haryana","29.0588","76.0856","Large rural coverage achieved","","","","","","","","","","","",""
"","","","","","","Delhi","28.6139","77.2090","Increase in urban policyholders","","","","","","","","","","","",""
"","","","","","","Himachal Pradesh","31.1048","77.1734","Awareness campaigns raised enrollments","","","","","","","","","","","",""
"MUDRA Yojana","Banking, Financial Services, and Insurance","Micro & Small Entrepreneurs","₹30,000 Crores","Empowered MSMEs with easy credit","Nationwide","Uttar Pradesh","27.1056","82.9376","5 lakh micro-enterprises funded","10","12","15","19","23","27","32","36","41","46","52","58"
"","","","","","","Maharashtra","19.7515","75.7139","Startup ecosystem boosted","","","","","","","","","","","",""
"","","","","","","Gujarat","22.2587","71.1924","Increased women entrepreneurship","","","","","","","","","","","",""
"","","","","","","Rajasthan","27.0238","74.2179","Improved job creation in rural areas","","","","","","","","","","","",""
"","","","","","","West Bengal","22.9868","87.8550","Access to collateral-free loans","","","","","","","","","","","",""
"Stand-Up India","Banking, Financial Services, and Insurance","SC/ST and Women Entrepreneurs","₹10,000 Crores","Support for underserved entrepreneurs","Nationwide","Maharashtra","19.7515","75.7139","50% beneficiaries are women","3","5","7","10","14","17","21","24","28","32","37","42"
"","","","","","","Tamil Nadu","11.1271","78.6569","SC entrepreneurs gained easy loan access","","","","","","","","","","","",""
"","","","","","","Karnataka","15.3173","75.7139","Regional startups flourished","","","","","","","","","","","",""
"","","","","","","Gujarat","22.2587","71.1924","Boosted manufacturing units","","","","","","","","","","","",""
"","","","","","","Punjab","31.1471","75.3412","Funding for local artisans expanded","","","","","","","","","","","",""
"Atal Pension Yojana","Banking, Financial Services, and Insurance","Unorganized Sector Workers","₹4,000 Crores","Secured old age income for workers","Nationwide","Uttarakhand","30.0668","79.0193","Retirement safety net provided","4","6","8","11","13","17","20","23","26","30","34","38"
"","","","","","","Bihar","25.0961","85.3131","Labour class registered in large numbers","","","","","","","","","","","",""
"","","","","","","Jharkhand","23.6102","85.2799","Awareness drives increased participation","","","","","","","","","","","",""
"","","","","","","Chhattisgarh","21.2787","81.8661","Elderly coverage improved","","","","","","","","","","","",""
"","","","","","","Haryana","29.0588","76.0856","Pension enrollment increased","","","","","","","","","","","",""
"Jan Suraksha Yojana","Banking, Financial Services, and Insurance","Below Poverty Line Families","₹3,000 Crores","Integrated insurance and pension cover","Nationwide","Madhya Pradesh","22.9734","78.6569","Combined pension and life insurance benefits","6","8","11","14","18","21","25","29","33","37","42","47"
"","","","","","","Rajasthan","27.0238","74.2179","Effective social safety net provided","","","","","","","","","","","",""
"","","","","","","Uttar Pradesh","27.1056","82.9376","Widespread adoption in rural areas","","","","","","","","","","","",""
"","","","","","","Assam","26.2006","92.9376","Insured population rose 45%","","","","","","","","","","","",""
"","","","","","","Tripura","23.9408","91.9882","Increased financial literacy","","","","","","","","","","","",""
"Credit Guarantee Fund Scheme","Banking, Financial Services, and Insurance","MSMEs","₹8,000 Crores","Enabled unsecured loans","Nationwide","Delhi","28.6139","77.2090","Urban MSMEs accessed working capital","9","11","14","18","22","26","31","35","40","45","51","58"
"","","","","","","Punjab","31.1471","75.3412","More businesses eligible for guarantees","","","","","","","","","","","",""
"","","","","","","Maharashtra","19.7515","75.7139","Boosted tech startups","","","","","","","","","","","",""
"","","","","","","Karnataka","15.3173","75.7139","Ease of doing business improved","","","","","","","","","","","",""
"","","","","","","Gujarat","22.2587","71.1924","Credit reach increased to rural sectors","","","","","","","","","","","",""
