"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Beti Bachao Beti Padhao","Women and Child","Girl Child","₹100 Crores (FY 2023-24)","Improved sex ratio, promoted education of girl children","Pan-India","Haryana","29.0588","76.0856","Marked improvement in child sex ratio","200","220","240","260","280","300","310","330","350","370","390","410"
"","","","","","","Uttarakhand","30.0668","79.0193","Girl child education drive","","","","","","","","","","","",""
"Pradhan Mantri Matru Vandana Yojana (PMMVY)","Women and Child","Pregnant and Lactating Women","₹12,661 Crores (till 2023)","Cash benefit of ₹5,000 for first live birth to improve nutrition","Pan-India","Madhya Pradesh","23.4733","77.9470","High enrollment and timely payments","300","310","320","340","360","370","380","390","410","430","440","460"
"","","","","","","Chhattisgarh","21.2787","81.8661","Better maternal healthcare outcomes","","","","","","","","","","","",""
"Integrated Child Development Services (ICDS)","Women and Child","Children under 6, Pregnant & Lactating Women","₹20,263 Crores (FY 2023-24)","Provides food, preschool education, health check-ups","Pan-India","Tamil Nadu","11.1271","78.6569","Well-functioning Anganwadi centers","1000","1020","1040","1060","1080","1100","1120","1140","1160","1180","1200","1220"
"","","","","","","Odisha","20.9517","85.0985","Nutrition monitoring in remote areas","","","","","","","","","","","",""
"Poshan Abhiyaan","Women and Child","Women and Children","₹9,046 Crores (as of 2023)","Eradication of malnutrition in children and women","Pan-India","Rajasthan","27.0238","74.2179","Nutrition tracking and community kitchens","300","330","350","360","370","390","410","430","450","460","480","500"
"","","","","","","Assam","26.2006","92.9376","Awareness campaigns for healthy feeding","","","","","","","","","","","",""
"One Stop Centre Scheme (Sakhi)","Women and Child","Women in distress","₹500 Crores+","Provides support to women facing violence","700+ districts","Punjab","31.1471","75.3412","Effective support centers operational","80","85","90","95","100","105","110","115","120","130","135","140"
"","","","","","","Telangana","18.1124","79.0193","Legal, medical, and psychological assistance","","","","","","","","","","","",""
"Mahila Shakti Kendra","Women and Child","Rural Women","₹3,636 Crores","Empowers rural women through community participation","115 Aspirational Districts","Jharkhand","23.6102","85.2799","Training and employment support","60","65","70","72","75","80","85","88","90","92","95","100"
"","","","","","","Bihar","25.0961","85.3131","Skill-building sessions and awareness drives","","","","","","","","","","","",""
"Ujjwala Scheme (for Women Survivors of Trafficking)","Women and Child","Women survivors of trafficking","Modular, center-based","Rehabilitation and reintegration support","Select states","West Bengal","22.9868","87.8550","Support centers and vocational training","20","22","25","27","30","32","35","37","40","42","45","47"
"","","","","","","Maharashtra","19.7515","75.7139","Rescue and rehabilitation initiatives","","","","","","","","","","","",""
"Kishori Shakti Yojana","Women and Child","Adolescent Girls (11–18 years)","Part of ICDS","Improves health, nutrition, and life skills of girls","Pan-India","Kerala","10.8505","76.2711","High girl participation in life skill training","70","72","74","76","78","80","85","88","90","92","94","96"
"","","","","","","Andhra Pradesh","15.9129","79.7400","Menstrual hygiene and nutrition awareness","","","","","","","","","","","",""
"National Crèche Scheme","Women and Child","Working Women (Children 6 months to 6 years)","₹200 Crores+","Daycare facilities to support working mothers","Urban & Rural areas","Delhi","28.6139","77.2090","Urban crèches for daily wage earners","40","42","45","48","50","52","55","58","60","62","65","68"
"","","","","","","Himachal Pradesh","31.1048","77.1734","Crèches in hilly and rural areas","","","","","","","","","","","",""
"Scheme for Adolescent Girls (SAG)","Women and Child","Adolescent Girls (11–14 years out-of-school)","Merged with POSHAN 2.0","Nutrition, health checkups, and education support","Rural India","Uttar Pradesh","26.8467","80.9462","Empowered many out-of-school girls","90","95","100","105","110","115","120","125","130","135","140","145"
"","","","","","","Karnataka","15.3173","75.7139","Focus on adolescent nutrition and counseling","","","","","","","","","","","",""
