"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"PMJDY","Banking, Financial Services, and Insurance","Unbanked Citizens","₹15,000 Crores","Financial inclusion of rural population","Nationwide","Bihar","25.0961","85.3131","10 million new bank accounts opened","35","40","43","46","48","53","58","61","67","70","74","78"
"","","","","","","West Bengal","22.9868","87.8550","Increased digital transaction adoption","","","","","","","","","","","",""
"","","","","","","Odisha","20.9517","85.0985","Expanded rural banking services","","","","","","","","","","","",""
"","","","","","","Jharkhand","23.6102","85.2799","Improved access to banking","","","","","","","","","","","",""
"","","","","","","Chhattisgarh","21.2787","81.8661","Boosted financial literacy","","","","","","","","","","","",""
"PMSBY","Banking, Financial Services, and Insurance","Low-income earners","₹2,500 Crores","Enhanced accidental insurance coverage","Nationwide","Madhya Pradesh","22.9734","78.6569","Rise in policy subscriptions","20","24","28","30","32","37","39","42","45","49","52","55"
"","","","","","","Rajasthan","27.0238","74.2179","Reduced financial burden after accidents","","","","","","","","","","","",""
"","","","","","","Assam","26.2006","92.9376","Wider reach among tea garden workers","","","","","","","","","","","",""
"","","","","","","Tamil Nadu","11.1271","78.6569","Increase in insurance claims processing","","","","","","","","","","","",""
"","","","","","","Karnataka","15.3173","75.7139","Increased financial security awareness","","","","","","","","","","","",""
"PMJJBY","Banking, Financial Services, and Insurance","Working-age population","₹3,000 Crores","Improved life insurance coverage","Nationwide","Kerala","10.8505","76.2711","Boost in life insurance policies","22","25","27","30","34","36","39","43","47","51","54","58"
"","","","","","","Maharashtra","19.7515","75.7139","Better claim settlements","","","","","","","","","","","",""
"","","","","","","Haryana","29.0588","76.0856","Higher enrollment among youth","","","","","","","","","","","",""
"","","","","","","Gujarat","22.2587","71.1924","Improved access in tribal regions","","","","","","","","","","","",""
"","","","","","","Andhra Pradesh","15.9129","79.7400","Increased awareness of term insurance","","","","","","","","","","","",""
"MUDRA Yojana","Banking, Financial Services, and Insurance","Micro and small entrepreneurs","₹20,000 Crores","Empowered small businesses via micro-loans","Nationwide","Uttar Pradesh","27.1056","82.9376","Boost in MSME growth","50","55","60","65","72","76","80","84","88","93","99","105"
"","","","","","","Tamil Nadu","11.1271","78.6569","Job creation in informal sectors","","","","","","","","","","","",""
"","","","","","","West Bengal","22.9868","87.8550","Rise in women-led businesses","","","","","","","","","","","",""
"","","","","","","Karnataka","15.3173","75.7139","Increased rural loan disbursal","","","","","","","","","","","",""
"","","","","","","Telangana","18.1124","79.0193","Support for tech-based startups","","","","","","","","","","","",""
"Atal Pension Yojana","Banking, Financial Services, and Insurance","Unorganized sector workers","₹4,000 Crores","Secured post-retirement life","Nationwide","Bihar","25.0961","85.3131","More enrollments from labor sector","18","21","25","27","29","31","34","38","40","43","47","50"
"","","","","","","Odisha","20.9517","85.0985","Increased pension plan awareness","","","","","","","","","","","",""
"","","","","","","Jharkhand","23.6102","85.2799","Financial safety for elderly","","","","","","","","","","","",""
"","","","","","","Uttarakhand","30.0668","79.0193","Coverage of hill region laborers","","","","","","","","","","","",""
"","","","","","","Chhattisgarh","21.2787","81.8661","More daily-wage workers enrolled","","","","","","","","","","","",""
"Stand Up India Scheme","Banking, Financial Services, and Insurance","SC/ST and women entrepreneurs","₹8,000 Crores","Promoted inclusive entrepreneurship","Nationwide","Madhya Pradesh","22.9734","78.6569","Higher SC/ST business funding","12","15","18","21","24","26","28","30","33","35","37","40"
"","","","","","","Uttar Pradesh","27.1056","82.9376","Increased women-led startups","","","","","","","","","","","",""
"","","","","","","Rajasthan","27.0238","74.2179","Training and loans for tribal areas","","","","","","","","","","","",""
"","","","","","","Tamil Nadu","11.1271","78.6569","More MSMEs by women","","","","","","","","","","","",""
"","","","","","","Assam","26.2006","92.9376","Expansion of tea cooperative units","","","","","","","","","","","",""
"Digital India Campaign (Financial Services)","Banking, Financial Services, and Insurance","General Public","₹10,000 Crores","Boosted digital banking services","Nationwide","Kerala","10.8505","76.2711","100% digital village adoption","40","45","47","50","54","57","61","65","69","74","78","83"
"","","","","","","Delhi","28.6139","77.2090","Massive UPI transaction rise","","","","","","","","","","","",""
"","","","","","","Maharashtra","19.7515","75.7139","UPI integration in rural banks","","","","","","","","","","","",""
"","","","","","","Punjab","31.1471","75.3412","Financial literacy drives","","","","","","","","","","","",""
"","","","","","","Karnataka","15.3173","75.7139","Rise in fintech adoption","","","","","","","","","","","",""
"Financial Literacy Campaign","Banking, Financial Services, and Insurance","Students, Workers, Rural Citizens","₹1,200 Crores","Increased awareness of banking services","Nationwide","Andhra Pradesh","15.9129","79.7400","Workshops in schools and villages","10","12","15","17","19","21","24","27","30","32","35","38"
"","","","","","","Haryana","29.0588","76.0856","Outreach via mobile banking vans","","","","","","","","","","","",""
"","","","","","","Bihar","25.0961","85.3131","Boosted rural bank account openings","","","","","","","","","","","",""
"","","","","","","West Bengal","22.9868","87.8550","Increased use of banking apps","","","","","","","","","","","",""
"","","","","","","Chhattisgarh","21.2787","81.8661","Empowered women with finance skills","","","","","","","","","","","",""
"Jan Suraksha Schemes Awareness Drive","Banking, Financial Services, and Insurance","Low-income families","₹700 Crores","Educated citizens on insurance benefits","Nationwide","Odisha","20.9517","85.0985","More PMSBY enrollments","14","16","18","21","24","27","30","33","36","40","43","46"
"","","","","","","Uttar Pradesh","27.1056","82.9376","Greater awareness in remote areas","","","","","","","","","","","",""
"","","","","","","Madhya Pradesh","22.9734","78.6569","Higher claim understanding","","","","","","","","","","","",""
"","","","","","","Gujarat","22.2587","71.1924","More group insurance adoption","","","","","","","","","","","",""
"","","","","","","Punjab","31.1471","75.3412","Improved financial planning","","","","","","","","","","","",""
"Insurance Penetration Enhancement Scheme","Banking, Financial Services, and Insurance","General Public","₹6,000 Crores","Widened insurance reach in underserved areas","Nationwide","Telangana","18.1124","79.0193","Better urban slum coverage","25","28","31","34","38","41","45","49","53","57","60","64"
"","","","","","","Maharashtra","19.7515","75.7139","Corporate and individual plans uptake","","","","","","","","","","","",""
