"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Bharatmala Pariyojana","Transport & Infrastructure","General Public, Transport Industry","₹5,35,000 Crores","Development of highway infrastructure and improvement in road connectivity","Pan-India","Maharashtra","19.7515","75.7139","Improved road connectivity and reduced travel time","300","350","400","450","500","550","600","650","700","750","800","850"
"","","","","","","Uttar Pradesh","26.8467","80.9462","Expansion of National Highways and expressways","","","","","","","","","","","",""
"Pradhan Mantri Gram Sadak Yojana (PMGSY)","Transport & Infrastructure","Rural Population","₹2,000 Crores","Improving road access in rural areas","Pan-India","Bihar","25.0968","85.3131","Enhanced rural road infrastructure","100","120","140","160","180","200","220","240","260","280","300","320"
"","","","","","","Rajasthan","27.0238","74.2179","Improved connectivity for remote villages","","","","","","","","","","","",""
"UDAN (Ude Desh ka Aam Naagrik)","Transport & Infrastructure","General Public, Aviation Industry","₹1,000 Crores","Enhancing regional air connectivity and making air travel affordable","Pan-India","Gujarat","22.2587","71.1924","Increased regional connectivity via airports in smaller cities","50","60","70","80","90","100","110","120","130","140","150","160"
"","","","","","","Tamil Nadu","11.1276","78.6569","Affordable flights to smaller cities and towns","","","","","","","","","","","",""
"Smart Cities Mission","Transport & Infrastructure","Urban Population, Local Governments","₹48,000 Crores","Developing sustainable and inclusive cities with better infrastructure and transport systems","Cities across India","Karnataka","15.3173","75.7139","Improved urban infrastructure and smarter traffic management","200","250","300","350","400","450","500","550","600","650","700","750"
"","","","","","","Uttarakhand","30.0668","79.0193","Development of smart urban transport systems","","","","","","","","","","","",""
"Atal Mission for Rejuvenation and Urban Transformation (AMRUT)","Transport & Infrastructure","Urban Population, Municipalities","₹50,000 Crores","Improvement in urban infrastructure and development of basic amenities","Urban Areas","Madhya Pradesh","23.4730","77.9478","Upgrade of water supply and sewerage systems in cities","150","180","220","250","280","300","330","360","400","420","450","480"
"","","","","","","Kerala","10.8505","76.2711","Improved urban transport systems and green spaces","","","","","","","","","","","",""
"National Infrastructure Pipeline (NIP)","Transport & Infrastructure","Industry, Government","₹111 Lakh Crores","Infrastructure development across various sectors including transport, water, energy, etc.","Pan-India","Odisha","20.9517","85.0985","Development of multi-modal transport hubs","500","600","700","800","900","1000","1100","1200","1300","1400","1500","1600"
"","","","","","","West Bengal","22.5726","88.3639","Improvement of road, rail, and port infrastructure","","","","","","","","","","","",""
"Make in India: Infrastructure Development","Transport & Infrastructure","Manufacturers, Entrepreneurs","₹50,000 Crores","Promotion of manufacturing and improvement in infrastructure for industrial growth","Pan-India","Maharashtra","19.7515","75.7139","Development of industrial corridors and manufacturing hubs","400","500","600","700","800","900","1000","1100","1200","1300","1400","1500"
"","","","","","","Gujarat","22.2587","71.1924","Improved connectivity for logistics and manufacturing units","","","","","","","","","","","",""
"National Highway Development Project (NHDP)","Transport & Infrastructure","General Public, Transport Industry","₹2,35,000 Crores","Construction and upgradation of national highways","Pan-India","Bihar","25.0968","85.3131","Improvement in road infrastructure for better connectivity","350","400","450","500","550","600","650","700","750","800","850","900"
"","","","","","","Assam","26.1445","91.7362","Better connectivity between Northeast and other regions","","","","","","","","","","","",""
"Delhi-Mumbai Industrial Corridor (DMIC)","Transport & Infrastructure","Industries, Transport Industry","₹1,00,000 Crores","Development of industrial hubs along the Delhi-Mumbai route and improving transportation networks","Delhi, Maharashtra, Gujarat, Rajasthan, Haryana, Madhya Pradesh","Maharashtra","19.7515","75.7139","Boosting manufacturing and infrastructure along the corridor","400","450","500","550","600","650","700","750","800","850","900","950"
"","","","","","","Rajasthan","27.0238","74.2179","Development of logistics and transportation facilities","","","","","","","","","","","",""
"Eastern Peripheral Expressway","Transport & Infrastructure","General Public, Commuters","₹11,000 Crores","Reducing traffic congestion and improving connectivity around Delhi","Delhi NCR","Delhi","28.6139","77.2090","Significant reduction in traffic congestion and pollution","80","100","120","140","160","180","200","220","240","260","280","300"
"","","","","","","Haryana","28.7041","77.1025","Improved road connectivity to Delhi NCR from surrounding areas","","","","","","","","","","","",""
