"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Khelo India Youth Games","Sports & Culture","Youth, Sports Enthusiasts","₹1,600 Crores","Promoting youth participation in sports and identifying talent at the grassroots level","Pan-India","Maharashtra","19.7515","75.7139","Increased youth participation in state-level sports events","200","250","300","350","400","450","500","550","600","650","700","750"
"","","","","","","Haryana","29.0588","76.0856","Development of sporting infrastructure and youth engagement in sports","","","","","","","","","","","",""
"Fit India Movement","Sports & Culture","General Public","₹500 Crores","Encouraging fitness and physical activity among the public","Pan-India","Delhi","28.6139","77.2090","Increased awareness of fitness and physical activity programs","300","350","400","450","500","550","600","650","700","750","800","850"
"","","","","","","Tamil Nadu","11.1276","78.6569","Implementation of fitness activities in schools and communities","","","","","","","","","","","",""
"National Sports Development Fund (NSDF)","Sports & Culture","Sports Organizations, Athletes","₹300 Crores","Supporting the development of sports infrastructure and athletes","Pan-India","Uttar Pradesh","26.8467","80.9462","Financial aid for sports development in schools and local communities","150","180","220","250","280","300","330","360","400","420","450","480"
"","","","","","","Kerala","10.8505","76.2711","Boosting infrastructure for sporting events and athletes","","","","","","","","","","","",""
"Sports Authority of India (SAI) Training Centres","Sports & Culture","Young Athletes, Trainers","₹1,200 Crores","Providing world-class training facilities to athletes across India","Pan-India","Punjab","31.1471","75.3412","Enhanced training for athletes in various sports disciplines","250","280","320","350","400","420","450","470","500","530","550","580"
"","","","","","","Bihar","25.0968","85.3131","Development of state-of-the-art sports training facilities","","","","","","","","","","","",""
"National Cultural Exchange Programme","Sports & Culture","Artists, Cultural Enthusiasts","₹200 Crores","Promoting cultural exchange and preserving traditional arts and crafts","Pan-India","West Bengal","22.5726","88.3639","Enhanced promotion of Bengali culture and arts","50","60","70","80","90","100","110","120","130","140","150","160"
"","","","","","","Goa","15.2993","74.1240","Increased participation in cultural exchange programs","","","","","","","","","","","",""
"Sangeet Natak Akademi Scheme","Sports & Culture","Artists, Performers","₹50 Crores","Promoting classical music, dance, and theatre arts","Pan-India","Uttar Pradesh","26.8467","80.9462","Support for classical dance and music performances","10","15","20","25","30","35","40","45","50","55","60","65"
"","","","","","","Karnataka","15.3173","75.7139","Fostering a traditional arts ecosystem in schools and communities","","","","","","","","","","","",""
"Rajiv Gandhi National Institute of Youth Development","Sports & Culture","Youth, Students","₹100 Crores","Developing leadership and youth development programs","Pan-India","Tamil Nadu","11.1276","78.6569","Training and development programs for youth leaders","30","40","50","60","70","80","90","100","110","120","130","140"
"","","","","","","Rajasthan","27.0238","74.2179","Youth empowerment through education and leadership training","","","","","","","","","","","",""
"National School of Drama (NSD) Scholarship Scheme","Sports & Culture","Students, Aspiring Actors","₹20 Crores","Providing scholarships to students for advanced training in drama and theatre","Pan-India","Delhi","28.6139","77.2090","Increased participation in drama and theatre workshops","5","8","10","12","15","18","20","22","25","28","30","32"
"","","","","","","Maharashtra","19.7515","75.7139","Scholarships and talent recognition in dramatic arts","","","","","","","","","","","",""
"National Adventure Foundation","Sports & Culture","Adventure Enthusiasts, Youth","₹100 Crores","Promoting adventure sports and outdoor activities among youth","Pan-India","Himachal Pradesh","32.0601","77.4312","Adventure sports training and outdoor activities for youth","50","60","70","80","90","100","110","120","130","140","150","160"
"","","","","","","Uttarakhand","30.0668","79.0193","Encouraging youth participation in adventure sports","","","","","","","","","","","",""
"National Sports Talent Search Scheme (NSTSS)","Sports & Culture","Talented Athletes","₹80 Crores","Identifying and nurturing talented athletes at the grassroots level","Pan-India","Kerala","10.8505","76.2711","Talent identification and training programs for athletes","40","50","60","70","80","90","100","110","120","130","140","150"
"","","","","","","Bihar","25.0968","85.3131","Improved sports talent recognition and promotion","","","","","","","","","","","",""
