"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Pradhan Mantri Awas Yojana (PMAY)","Housing & Shelter","Low-Income Families","₹1,00,000 Crores","Affordable housing for the urban poor","Pan-India","Uttar Pradesh","26.8467","80.9462","Construction of over 5 lakh affordable homes","10000","12000","14000","16000","18000","20000","22000","24000","26000","28000","30000","32000"
"","","","","","","Maharashtra","19.7515","75.7139","Enhanced access to low-cost housing in rural areas","","","","","","","","","","","",""
"Housing for All Scheme","Housing & Shelter","Urban Poor","₹80,000 Crores","Providing homes for homeless people","Urban Areas","Delhi","28.6139","77.2090","Building new shelters for homeless individuals","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000"
"","","","","","","Kolkata","22.5726","88.3639","Government-supported urban housing projects","","","","","","","","","","","",""
"Atal Mission for Rejuvenation and Urban Transformation (AMRUT)","Housing & Shelter","Urban Population","₹50,000 Crores","Upgrading urban infrastructure and housing","Urban Cities","Bengaluru","12.9716","77.5946","Improvement in urban housing and sanitation","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500"
"","","","","","","Chandigarh","30.7333","76.7794","Infrastructure enhancement for affordable housing","","","","","","","","","","","",""
"Affordable Rental Housing Complexes (ARHC)","Housing & Shelter","Migrant Workers and Urban Poor","₹3,000 Crores","Creation of affordable rental homes for migrants","Pan-India","Uttar Pradesh","26.8467","80.9462","Providing rental homes for migrant workers","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000"
"","","","","","","Madhya Pradesh","23.4731","77.9470","Setting up affordable rental housing complexes","","","","","","","","","","","",""
"Rural Housing Scheme","Housing & Shelter","Rural Poor","₹15,000 Crores","Providing low-cost homes for rural households","Rural Areas","Bihar","25.0968","85.3131","Housing for rural families in need","1200","1400","1600","1800","2000","2200","2400","2600","2800","3000","3200","3400"
"","","","","","","Assam","26.2006","92.9376","Affordable housing in rural areas","","","","","","","","","","","",""
"National Urban Housing Fund","Housing & Shelter","Urban Poor","₹60,000 Crores","Facilitating affordable housing projects in urban areas","Urban Areas","Mumbai","19.0760","72.8777","Affordable housing development for the urban poor","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500"
"","","","","","","Chennai","13.0827","80.2707","Implementation of affordable housing projects","","","","","","","","","","","",""
"Slum Rehabilitation Scheme","Housing & Shelter","Slum Dwellers","₹10,000 Crores","Improving the living conditions of slum dwellers","Urban Slums","Delhi","28.6139","77.2090","Upgrading slum areas and providing housing","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000"
"","","","","","","Kolkata","22.5726","88.3639","Building homes for slum residents","","","","","","","","","","","",""
"Prime Minister's Urban Housing Mission","Housing & Shelter","Urban Poor","₹25,000 Crores","Providing housing for urban poor in cities","Urban Areas","Hyderabad","17.3854","78.4867","Affordable housing schemes for urban poor","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500"
"","","","","","","Bengaluru","12.9716","77.5946","Construction of low-cost housing units","","","","","","","","","","","",""
"Affordable Housing Scheme for Migrants","Housing & Shelter","Migrant Workers","₹5,000 Crores","Creating low-cost housing options for migrant workers","Pan-India","Madhya Pradesh","23.4731","77.9470","Affordable housing projects for migrant workers","1000","1200","1400","1600","1800","2000","2200","2400","2600","2800","3000","3200"
"","","","","","","Gujarat","22.2587","71.1924","Low-cost housing for migrant populations","","","","","","","","","","","",""
"Indira Awas Yojana (IAY)","Housing & Shelter","Below Poverty Line Families","₹12,000 Crores","Providing housing for BPL families","Rural Areas","Bihar","25.0968","85.3131","Housing for Below Poverty Line families","1500","1700","1900","2100","2300","2500","2700","2900","3100","3300","3500","3700"
"","","","","","","West Bengal","22.5726","88.3639","Affordable housing for rural families","","","","","","","","","","","",""
