"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Insurance Penetration Enhancement Scheme","Banking, Financial Services, and Insurance","General Public","₹6,000 Crores","Widened insurance reach in underserved areas","Nationwide","Telangana","18.1124","79.0193","Better urban slum coverage","25","28","31","34","38","41","45","49","53","57","60","64"
"","","","","","","Maharashtra","19.7515","75.7139","Corporate and individual plans uptake","","","","","","","","","","","",""
"","","","","","","Karnataka","15.3173","75.7139","Expansion of rural agents","","","","","","","","","","","",""
"Digital Literacy for Rural Women","Education and Skills","Rural Women","₹500 Crores","Empowerment through digital skills","Rural India","Uttar Pradesh","27.1767","79.0193","Enhanced tech-savvy women workforce","10","12","15","18","20","22","24","27","30","32","35","38"
"","","","","","","Bihar","25.0968","85.3131","Increased access to online learning","","","","","","","","","","","",""
"Affordable Housing for All","Urban Development","Low-Income Groups","₹10,000 Crores","Providing low-cost housing solutions","Urban and Semi-Urban Areas","West Bengal","22.5726","88.3639","Increased affordable housing options","50","60","70","80","90","100","110","120","130","140","150","160"
"","","","","","","Tamil Nadu","11.1271","78.6569","Support for low-income families","","","","","","","","","","","",""
"Startup India Initiative","Entrepreneurship and Innovation","Entrepreneurs","₹2,500 Crores","Promoting innovation and startups","Nationwide","Delhi","28.6139","77.2090","Increased startup incubators","15","18","21","24","27","30","33","36","39","42","45","48"
"","","","","","","Karnataka","15.3173","75.7139","Support for tech startups","","","","","","","","","","","",""
"Clean India Mission","Public Health and Hygiene","General Public","₹5,000 Crores","Improvement of sanitation and cleanliness","Nationwide","Haryana","29.0588","76.0856","Improved waste management systems","20","25","30","35","40","45","50","55","60","65","70","75"
"","","","","","","Punjab","31.1471","75.3412","Cleanliness campaigns","","","","","","","","","","","",""
"Ayurvedic Wellness Program","Health and Wellness","General Public","₹1,000 Crores","Promotion of Ayurvedic health practices","Pan-India","Kerala","10.8505","76.2711","Increased adoption of Ayurvedic treatments","5","6","7","8","9","10","12","13","14","15","16","17"
"","","","","","","Goa","15.2993","74.124","Promotion of Ayurvedic wellness tourism","","","","","","","","","","","",""
"Skill Development for Rural Youth","Skills and Education","Rural Youth","₹2,000 Crores","Skill development for employability","Rural India","Madhya Pradesh","23.4731","77.947","Improved job skills for rural youth","10","12","14","16","18","20","22","24","26","28","30","32"
"","","","","","","Rajasthan","27.0238","74.2179","Increased vocational training centers","","","","","","","","","","","",""
"Digital Health Initiative","Healthcare","General Public","₹3,000 Crores","Expansion of digital health services","Nationwide","Uttar Pradesh","27.1767","79.0193","Increased telemedicine services","20","23","26","29","32","35","38","41","44","47","50","53"
"","","","","","","Maharashtra","19.7515","75.7139","Improved access to digital health resources","","","","","","","","","","","",""
"Swachh Bharat Mission","Public Health","General Public","₹8,000 Crores","Cleanliness and sanitation drive","Nationwide","Bihar","25.0968","85.3131","Improved sanitation facilities","30","35","40","45","50","55","60","65","70","75","80","85"
"","","","","","","Madhya Pradesh","23.4731","77.947","Increased public hygiene awareness","","","","","","","","","","","",""
"Solar Energy Subsidy Scheme","Energy and Environment","Households and Small Businesses","₹4,000 Crores","Promoting solar energy adoption","Pan-India","Rajasthan","27.0238","74.2179","Increased solar panel installations","10","12","14","16","18","20","22","24","26","28","30","32"
"","","","","","","Gujarat","22.2587","71.1924","Boost to green energy initiatives","","","","","","","","","","","",""
