"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Digital India Programme","Science, IT & Communications","General Public","₹1,13,000 Crores","Enhancing digital infrastructure and services","Pan-India","Kerala","10.8505","76.2711","Increased broadband penetration and digital literacy","1000","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000"
"","","","","","","Uttar Pradesh","26.8467","80.9462","Digitization of government services and e-governance initiatives","","","","","","","","","","","",""
"Make in India - Electronics Manufacturing","Science, IT & Communications","Electronics Manufacturers","₹70,000 Crores","Boosting domestic manufacturing of electronics","Pan-India","Tamil Nadu","11.1276","78.6569","Increased investment in electronics manufacturing","500","600","700","800","900","1000","1100","1200","1300","1400","1500","1600"
"","","","","","","Uttar Pradesh","26.8467","80.9462","Development of electronic manufacturing hubs","","","","","","","","","","","",""
"Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA)","Science, IT & Communications","Rural Population","₹2,351 Crores","Digital literacy for rural India","Pan-India","Bihar","25.0968","85.3131","Empowerment through digital skills training in rural areas","300","400","500","600","700","800","900","1000","1100","1200","1300","1400"
"","","","","","","Madhya Pradesh","23.4731","77.9470","Increased digital engagement in rural households","","","","","","","","","","","",""
"National Mission on Quantum Technologies & Applications","Science, IT & Communications","Research Institutions, Universities","₹8,000 Crores","Advancing quantum technologies research and applications","Pan-India","Karnataka","15.3173","75.7139","Strengthening research capabilities in quantum computing","50","100","150","200","250","300","350","400","450","500","550","600"
"","","","","","","Telangana","18.1124","79.0193","Support for quantum technology startups and collaborations","","","","","","","","","","","",""
"National Cyber Security Strategy 2020","Science, IT & Communications","Government, Cybersecurity Firms","₹10,000 Crores","Enhancing national cybersecurity capabilities","Pan-India","Delhi","28.6139","77.2090","Enhanced cybersecurity infrastructure and workforce","200","300","400","500","600","700","800","900","1000","1100","1200","1300"
"","","","","","","Maharashtra","19.7515","75.7139","Cybersecurity awareness and skill development","","","","","","","","","","","",""
"BharatNet","Science, IT & Communications","Rural and Remote Areas","₹45,000 Crores","Expanding broadband connectivity to rural India","Pan-India","Uttar Pradesh","26.8467","80.9462","Improved internet connectivity in rural areas","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500"
"","","","","","","Odisha","20.9517","85.0985","High-speed internet connectivity for remote villages","","","","","","","","","","","",""
"Startup India","Science, IT & Communications","Entrepreneurs, Startups","₹10,000 Crores","Promoting entrepreneurship and startup ecosystem","Pan-India","Gujarat","22.2587","71.1924","Creation of a robust startup ecosystem","200","300","400","500","600","700","800","900","1000","1100","1200","1300"
"","","","","","","Bangalore","12.9716","77.5946","Fostering innovation and tech-driven startups","","","","","","","","","","","",""
"Electronics Development Fund (EDF)","Science, IT & Communications","Electronics Startups and Firms","₹2,000 Crores","Funding for innovation in electronics development","Pan-India","Madhya Pradesh","23.4731","77.9470","Funding for electronics design and innovation","100","200","300","400","500","600","700","800","900","1000","1100","1200"
"","","","","","","Haryana","29.0588","76.0856","Startup incubation for electronics manufacturing","","","","","","","","","","","",""
"Wi-Fi Choupal","Science, IT & Communications","Rural Areas","₹200 Crores","Providing Wi-Fi access to rural areas for digital inclusion","Pan-India","Rajasthan","27.0238","74.2179","Affordable internet access in rural regions","50","100","150","200","250","300","350","400","450","500","550","600"
"","","","","","","Madhya Pradesh","23.4731","77.9470","Wi-Fi access in remote villages","","","","","","","","","","","",""
"Technology Development for Indian Language (TDIL)","Science, IT & Communications","Language Experts, Researchers","₹500 Crores","Development of technology for regional languages","Pan-India","West Bengal","22.5726","88.3639","Regional language content and technology development","20","40","60","80","100","120","140","160","180","200","220","240"
"","","","","","","Maharashtra","19.7515","75.7139","Promoting digital platforms in local languages","","","","","","","","","","","",""
