"name","category","audience","budget","impact","coverage","stateImpact__state","stateImpact__latitude","stateImpact__longitude","stateImpact__impact","monthlyImpact__001","monthlyImpact__002","monthlyImpact__003","monthlyImpact__004","monthlyImpact__005","monthlyImpact__006","monthlyImpact__007","monthlyImpact__008","monthlyImpact__009","monthlyImpact__010","monthlyImpact__011","monthlyImpact__012"
"Swachh Bharat Mission (Urban)","Utility & Sanitation","Urban Population","₹62,009 Crores","Construction of individual and public toilets, waste management","All urban areas","Maharashtra","19.7515","75.7139","Major citywide cleanliness drives and public toilet installation","200","210","220","240","260","280","300","320","340","350","370","400"
"","","","","","","Delhi","28.6139","77.2090","Smart public toilet systems and waste recycling","","","","","","","","","","","",""
"Swachh Bharat Mission (Gramin)","Utility & Sanitation","Rural Population","₹1.96 Lakh Crores","Open defecation free villages, rural sanitation awareness","All rural areas","Uttar Pradesh","26.8467","80.9462","ODF villages declared in multiple districts","300","320","340","360","380","400","420","440","460","480","500","520"
"","","","","","","Bihar","25.0961","85.3131","Massive toilet construction drive","","","","","","","","","","","",""
"AMRUT (Atal Mission for Rejuvenation and Urban Transformation)","Utility & Sanitation","Urban Dwellers","₹77,640 Crores","Urban sanitation, water supply, and drainage infrastructure","500+ cities","Tamil Nadu","11.1271","78.6569","Upgraded sewerage systems in major cities","150","160","170","180","200","210","220","230","250","260","270","290"
"","","","","","","Gujarat","22.2587","71.1924","Enhanced water supply and drainage in urban centers","","","","","","","","","","","",""
"National Rural Drinking Water Programme (NRDWP)","Utility & Sanitation","Rural Communities","₹1.2 Lakh Crores","Safe and adequate drinking water for rural areas","Pan-India rural areas","Chhattisgarh","21.2787","81.8661","Access to clean water in tribal and remote villages","100","110","120","130","140","150","160","170","180","190","200","210"
"","","","","","","Rajasthan","27.0238","74.2179","Revival of traditional water sources and piped water","","","","","","","","","","","",""
"Jal Jeevan Mission","Utility & Sanitation","Rural Households","₹3.6 Lakh Crores","Tap water to every rural household by 2024","Rural India","Karnataka","15.3173","75.7139","Rapid increase in tap connections","180","190","210","230","250","270","290","310","330","350","370","390"
"","","","","","","West Bengal","22.9868","87.8550","Focus on quality and regular water supply","","","","","","","","","","","",""
"Solid Waste Management Rules 2016","Utility & Sanitation","Urban Local Bodies, Citizens","State-wise implementation","Segregation, collection, and recycling of waste","Pan-India","Punjab","31.1471","75.3412","Model composting plants set up","60","65","70","75","80","90","95","100","110","115","120","125"
"","","","","","","Kerala","10.8505","76.2711","Community-led solid waste solutions","","","","","","","","","","","",""
"Total Sanitation Campaign (TSC)","Utility & Sanitation","Rural Areas","Merged into SBM-G","Promoted toilet usage and behavioral change","Rural India","Odisha","20.9517","85.0985","Community-led sanitation drives","50","60","70","80","90","100","105","110","115","120","130","140"
"","","","","","","Madhya Pradesh","23.4733","77.9470","Awareness campaigns and toilet construction","","","","","","","","","","","",""
"National Urban Sanitation Policy (NUSP)","Utility & Sanitation","Urban Local Bodies","Policy-based","Vision of sanitation for all by promoting public-private partnerships","Urban India","Andhra Pradesh","15.9129","79.7400","State sanitation rating systems","45","55","60","65","70","75","80","90","95","100","110","120"
"","","","","","","Jharkhand","23.6102","85.2799","Improvements in solid waste treatment","","","","","","","","","","","",""
"Garima Scheme (Odisha)","Utility & Sanitation","Sanitation Workers","State-funded","Welfare of core sanitation workers with dignity and safety","Odisha","Odisha","20.9517","85.0985","First-of-its-kind comprehensive worker protection scheme","30","35","40","45","50","55","60","65","70","75","80","85"
"Nirmal Gram Puraskar","Utility & Sanitation","Panchayats, Villages","Award-based incentive","Incentivizes open defecation-free status and sanitation excellence","Rural Panchayats","Haryana","29.0588","76.0856","High number of award-winning panchayats","10","12","15","18","20","22","25","27","30","33","35","38"
"","","","","","","Sikkim","27.5330","88.5122","First state to achieve full ODF status","","","","","","","","","","","",""
